Field-Level Mapping — Core Active Tables (order matches Migration Tracker),,,
"Baseline: 'Postcard Travel Club - Domain Model - Diagrams & Explanations' (9 Jul 2026 Google Doc, confirmed authoritative 2026-08-05). Purple rows = confirmed extensions beyond that doc. GEO CHANGE 2026-08-05: City tier REMOVED - 3-tier Country/Region/Locality, disambiguated via Locality.google_place_id; City Guide re-anchors to Region. MEMBERSHIP CHANGE 2026-08-12: Free/StarLife tier moved out of User into its own Membership table. OWNERSHIP CHANGE 2026-08-12: Circle is reserved for follow/bookmark engagement only - ownership/assignment (user/assignTo) fields are direct FKs, not Circle. CIRCLE CONSOLIDATION 2026-08-12: Bookmark + all 6 Follow-* tables collapse into ONE relationship='bookmark' value, differentiated only by owned_type.",,,
,,,
Country,-> Country,,
v1 Field,v2 Field / Target,Disposition,Note
name,name,Direct,"Matches canonical doc (id, name, slug)."
slug,slug,Direct,Matches canonical doc.
code,code,Direct,"EXTENSION beyond canonical doc (2026-08-05, confirmed intentional)."
continent,continent (enum),Transform,EXTENSION beyond canonical doc (confirmed intentional). Enum value list still needs to be defined.
coverImage,flag (image),Transform,EXTENSION beyond canonical doc (confirmed intentional). ASSUMPTION: mapped from v1's coverImage field.
otherNames,(no target field),Flag,Not included in the confirmed field list - still unmapped/archived if needed.
,,,
Tag,-> FacetType 'Experience' + FacetAssignment (owned_type=postcard),,
v1 Field,v2 Field / Target,Disposition,Note
name,FacetValue.name (under FacetType='Experience'),Transform,"EXTENSION beyond canonical doc (confirmed intentional, 2026-08-05)."
tag_group,"FacetType (if grouped), else default 'Experience' FacetType",Transform,Matches the Tag-group decision - per-group call.
(scope),FacetAssignment (owned_type=postcard),Transform,"Confirmed 2026-08-05: owned by Postcard, not Collection directly."
(resolved),"Property/Collection tag filter -> via rollup, no direct assignment",Transform,"CONFIRMED 2026-08-05: Property rolls up from child Postcards, same pattern flat_properties uses. Differs from Theme, which IS assigned directly on Collection."
,,,
User-type,-> UserType,,
v1 Field,v2 Field / Target,Disposition,Note
name,title,Transform,EXTENSION beyond canonical doc (confirmed intentional) - canonical schema calls this 'name'.
slug,slug,Direct,Matches canonical doc field name.
(relation),UserRole.user_type_id (User <-> UserType join),Direct,Matches canonical doc.
isDefault / isCreator / isAdmin,(dropped),Flag,DEVIATION beyond canonical doc (confirmed intentional) - canonical schema keeps these as real fields.
,,,
Company,-> Company,,
v1 Field,v2 Field / Target,Disposition,Note
name,title,Transform,EXTENSION beyond canonical doc (confirmed intentional) - canonical schema calls this 'name'.
logo,logo (image),Direct,EXTENSION beyond canonical doc (confirmed intentional).
coverImage,coverImage (image),Direct,EXTENSION beyond canonical doc (confirmed intentional). Distinct from logo.
(relation),UserRole (user_id + company_id),Direct,Matches canonical doc.
"(relation, inverse)",Collection.managed_by_company_id,Direct,Matches canonical doc exactly. NOTE 2026-08-12: not present in the real Album schema Angel pasted - confirm this relation lives elsewhere (e.g. on the User/Company side) or is genuinely dropped for Album specifically.
,,,
Upload - File,"-> Media (confirmed 2026-08-05: exact match, no field changes)",,
v1 Field,v2 Field / Target,Disposition,Note
name / alternativeText / caption,(equivalent fields),Direct,
url / formats / hash / ext / mime / size / provider,(equivalent fields),Direct,Preserve S3/CDN URL and provider metadata as-is.
id (numeric),id (UUID),Transform,Build and retain a permanent old-numeric-ID -> new-UUID mapping table.
,,,
Directory,-> CollectionType,,
v1 Field,v2 Field / Target,Disposition,Note
name,name,Direct,Matches canonical doc: Properties/Restaurants/Events/Shopping/Destination Expert.
slug,slug,Direct,ASSUMPTION: v1 field name assumed 'slug'.
(new),description,Flag,In canonical schema but no known v1 source field.
(new),icon,Flag,In canonical schema but no known v1 source field.
(new),has_dedicated_collection (boolean),Transform,Derived business rule: true only for Properties and Destination Expert.
(new),priority (integer),Flag,In canonical schema but no known v1 source field.
,,,
Category,-> FacetType (scoped per CollectionType) / FacetValue / FacetAssignment,,
v1 Field,v2 Field / Target,Disposition,Note
name,FacetValue.name,Direct,"The actual category value (e.g. 'Boutique Stay', 'Indian', 'Adventure')."
slug,FacetValue.slug,Direct,
directory,FacetType.applies_to_collection_type_id + FacetType.name,Transform,"CONFIRMED 2026-08-05: Properties -> 'Type', Restaurants -> 'Cuisine/Type', Journeys (Subcollection) -> 'Theme', Events -> 'Category', Shopping -> 'Type'."
